gname,target,Number_of_Cases
New World Liberation Front (NWLF),Private Citizens & Property,10
New World Liberation Front (NWLF),Unknown,1
New World Liberation Front (NWLF),Utilities,27
New Year's Gang,Government (General),1
New Year's Gang,Military,2
New Year's Gang,Utilities,1
New caledonian independence supporters,Business,1
Nicaraguan  Revolutionary Armed Force,Military,1
Nicaraguan  Revolutionary Armed Force,Private Citizens & Property,1
Nicaraguan Counter Revolutionaries (group unk),Military,1
Nicaraguan Counter Revolutionaries (group unk),NGO,1
Nicaraguan Democratic Anti-Communist Movement,Airports & Aircraft,1
Nicaraguan Democratic Force (FDN),Business,70
Nicaraguan Democratic Force (FDN),Educational Institution,2
Nicaraguan Democratic Force (FDN),Food or Water Supply,2
Nicaraguan Democratic Force (FDN),Government (General),65
Nicaraguan Democratic Force (FDN),Maritime,15
Nicaraguan Democratic Force (FDN),Military,578
Nicaraguan Democratic Force (FDN),Police,4
Nicaraguan Democratic Force (FDN),Private Citizens & Property,93
Nicaraguan Democratic Force (FDN),Religious Figures/Institutions,1
Nicaraguan Democratic Force (FDN),Telecommunication,5
Nicaraguan Democratic Force (FDN),Terrorists/Non-State Militia,1
Nicaraguan Democratic Force (FDN),Transportation,26
Nicaraguan Democratic Force (FDN),Unknown,1
Nicaraguan Democratic Force (FDN),Utilities,32
Nicaraguan Resistance,Business,13
Nicaraguan Resistance,Government (General),26
Nicaraguan Resistance,Maritime,1
Nicaraguan Resistance,Military,113
Nicaraguan Resistance,NGO,3
Nicaraguan Resistance,Other,2
Nicaraguan Resistance,Private Citizens & Property,34
Nicaraguan Resistance,Religious Figures/Institutions,1
Nicaraguan Resistance,Telecommunication,4
Nicaraguan Resistance,Transportation,7
Nicaraguan Resistance,Utilities,27
Nicaraguans protesting their government,Airports & Aircraft,1
Niger Delta Avengers (NDA),Business,1
Niger Delta Avengers (NDA),Utilities,49
Niger Delta Forest Army (NDFA),Private Citizens & Property,1
Niger Delta Freedom Fighters (NDDF),Utilities,1
Niger Delta Greenland Justice Mandate (NDGJM),Utilities,11
Niger Delta Justice Defense Group (NDJDG),Utilities,1
Niger Delta Liberation Force (NDLF)-Nigeria,Utilities,3
Niger Delta People's Volunteer Force (NDPVF),Private Citizens & Property,1
Niger Delta People's Volunteer Force (NDPVF),Utilities,2
Niger Delta Vigilante (NDV),Maritime,1
Niger Delta Vigilante (NDV),Police,1
Niger Delta Vigilante (NDV),Utilities,1
Niger Delta extremists,Maritime,1
Niger Delta extremists,Military,1
Niger Delta extremists,Utilities,2
Nihilistic Patrol and Neighborhood Arsonists,Private Citizens & Property,1
Nihilists Faction,Business,1
Nihilists Faction,Religious Figures/Institutions,1
Nikhil Bharat Bangali Udbastu Samannay Samiti (NBBUSS),Private Citizens & Property,1
Ningo Tribe,Private Citizens & Property,1
Ninjas,NGO,1
Ninjas,Police,1
Ninjas,Private Citizens & Property,3
Ninjas,Transportation,4
Ninth of June Organization,Airports & Aircraft,4
Ninth of June Organization,Business,3
Ninth of June Organization,Private Citizens & Property,1
No Borders Group,Private Citizens & Property,1
Nobles of Jordan,Business,1
Nomadic AFARS,Tourists,1
Nordic Resistance Movement,Business,1
Nordic Resistance Movement,Private Citizens & Property,2
Nordisk Rikspartiet (Nordic National Party),Transportation,1
North Korean involvement commandos,Religious Figures/Institutions,1
Northern Diriangen Front (FND),Unknown,3
Northern Epirus Liberation Front (MAVI),Government (Diplomatic),1
Northern Terror Front,Military,1
Northern Terror Front,Police,2
November 10 (Bolivia),Airports & Aircraft,1
November 17 Revolutionary Organization (N17RO),Airports & Aircraft,1
November 17 Revolutionary Organization (N17RO),Business,33
November 17 Revolutionary Organization (N17RO),Educational Institution,1
November 17 Revolutionary Organization (N17RO),Government (Diplomatic),18
November 17 Revolutionary Organization (N17RO),Government (General),17
November 17 Revolutionary Organization (N17RO),Maritime,1
November 17 Revolutionary Organization (N17RO),Military,6
November 17 Revolutionary Organization (N17RO),Police,6
November 17 Revolutionary Organization (N17RO),Private Citizens & Property,22
November 17 Revolutionary Organization (N17RO),Tourists,5
November 17 Revolutionary Organization (N17RO),Transportation,1
November 17 Revolutionary Organization (N17RO),Utilities,1
November 21 Organization,Business,2
November 21 Organization,Educational Institution,1
November 21 Organization,Journalists & Media,1
November 21 Organization,Private Citizens & Property,1
Nuclear Liberation Front,Government (General),1
Nuclei Communist Combattants,Military,1
Nucleus of Fighting Communists,Private Citizens & Property,1
Nucleus of the Armed Struggle,Government (General),1
Nuer White Army,Private Citizens & Property,2
Nur-al-Din al-Zinki Movement,Government (General),1
Nur-al-Din al-Zinki Movement,Military,2
Nur-al-Din al-Zinki Movement,Private Citizens & Property,4
Nyatura Militia,Military,7
Nyatura Militia,NGO,2
Nyatura Militia,Police,1
Nyatura Militia,Private Citizens & Property,15
OAS-MRP,Business,4
OAS-MRP,Private Citizens & Property,1
OAS-MRP,Religious Figures/Institutions,1
OPR-33,Journalists & Media,1
October 11 Group,Government (General),1
October Third Movement,Airports & Aircraft,1
October-80,Business,2
October-80,Private Citizens & Property,1
Odessa Underground,Business,1
Odessa Underground,Police,1
Odua Peoples' Congress (OPC),Police,2
Odua Peoples' Congress (OPC),Private Citizens & Property,1
Official Irish Republican Army (OIRA),Business,1
Official Irish Republican Army (OIRA),Government (General),2
Official Irish Republican Army (OIRA),Military,16
Official Irish Republican Army (OIRA),Police,1
Official Irish Republican Army (OIRA),Private Citizens & Property,12
Official Irish Republican Army (OIRA),Terrorists/Non-State Militia,8
Ogaden National Liberation Front (ONLF),Business,1
Ogaden National Liberation Front (ONLF),Government (Diplomatic),1
Ogaden National Liberation Front (ONLF),Military,1
Ogaden National Liberation Front (ONLF),Private Citizens & Property,1
Ogaden National Liberation Front (ONLF),Terrorists/Non-State Militia,1
Ogaden National Liberation Front (ONLF),Utilities,1
Oglaigh na hEireann,Business,5
Oglaigh na hEireann,Military,1
Oglaigh na hEireann,Police,20
Oglaigh na hEireann,Private Citizens & Property,16
Oglaigh na hEireann,Transportation,1
Oglaigh na hEireann,Unknown,5
Ohabi Islamic Sect,Private Citizens & Property,1
Okba Ibn Nafaa Brigade,Military,10
Okba Ibn Nafaa Brigade,Police,2
Okba Ibn Nafaa Brigade,Private Citizens & Property,1
Okba Ibn Nafaa Brigade,Religious Figures/Institutions,1
Okinawa Liberation League,Military,1
Omar Bin Khattab Group,Government (Diplomatic),1
Omar Mukhtar Militia,Military,1
Omar Torrijos Commando for Latin American Dignity,Religious Figures/Institutions,1
Ombatse Cult,Military,1
Omega-7,Airports & Aircraft,2
Omega-7,Business,25
Omega-7,Government (Diplomatic),18
Omega-7,Journalists & Media,5
Omega-7,Maritime,1
Omega-7,NGO,1
Omega-7,Private Citizens & Property,2
Omega-7,Religious Figures/Institutions,1
Opossition 48 hour general strikers,Police,1
Opponents of Regime,Government (General),1
Opponents of disabled people,Business,1
Opposition Group,Business,3
Opposition Group,Educational Institution,1
Opposition Group,Government (Diplomatic),1
Opposition Group,Government (General),57
Opposition Group,Journalists & Media,1
Opposition Group,Police,5
Opposition Group,Private Citizens & Property,15
Opposition Group,Transportation,13
Opposition Group,Violent Political Party,3
Opposition Jatiya Samajtantrik Del Party,Police,1
Opposition Militants,Private Citizens & Property,2
Opposition Militants,Transportation,1
Opposition Militants,Violent Political Party,3
Opposition movement of Colon Province Unemployed,Police,1
Orakzai Freedom Movement,Private Citizens & Property,1
Orange Volunteers (OV),Business,7
Orange Volunteers (OV),Police,1
Orange Volunteers (OV),Private Citizens & Property,2
Orange Volunteers (OV),Terrorists/Non-State Militia,1
Orde Boerevoik,Journalists & Media,1
Orfei Harsha'am,Private Citizens & Property,1
Organizacion Democratica Nacionalista (ORDEN),Private Citizens & Property,1
Organizacion Democratica Nacionalista (ORDEN),Unknown,1
Organization 544,Police,1
Organization Alliance of Cuban Intransigence,Educational Institution,1
Organization for Purging the Majlis (Parliament),Religious Figures/Institutions,1
Organization for Revolutionary Self Defense,Government (Diplomatic),2
Organization for Revolutionary Self Defense,Police,2
Organization for Revolutionary Self Defense,Private Citizens & Property,1
Organization for Zionist Retribution,Private Citizens & Property,1
Organization for the Defense of Detainees Rights,Government (Diplomatic),1
Organization for the Liberation of France from Jewish Occupation,Business,1
Organization for the oppresed in Egypt's Prisons,Tourists,1
Organization of Anti-Fascist Students,Journalists & Media,1
Organization of Arab Fedayeen Cells,Airports & Aircraft,1
Organization of Avenging Palestinian Youth,Airports & Aircraft,1
Organization of Mauritanian Nationalists,Government (General),1
Organization of Metropolitan Proletariat and Oppressed Peoples,Business,1
Organization of Mujahadin of Islam,Private Citizens & Property,1
Organization of Soldiers of the Levant,Private Citizens & Property,1
Organization of Volunteers for the Puerto Rican Revolution,Airports & Aircraft,4
Organization of Volunteers for the Puerto Rican Revolution,Business,1
Organization of Volunteers for the Puerto Rican Revolution,Educational Institution,2
Organization of Volunteers for the Puerto Rican Revolution,Military,6
Organization of Volunteers for the Puerto Rican Revolution,Police,1
Organization of Volunteers for the Puerto Rican Revolution,Private Citizens & Property,1
Organization of the Sons of Occupied Territories,Airports & Aircraft,2
Organized Comrades for Feminist Counter-Power,Business,2
Organized Comrades for Feminist Counter-Power,Government (Diplomatic),1
Organized Comrads for Communism,Violent Political Party,1
Organized Crime,Government (General),1
Organized Crime,Violent Political Party,1
Organized Proletarian Communists,Business,1
Organized Proletarian Communists,Unknown,1
Organized Proletarian Communists,Violent Political Party,1
Orly Organization,Airports & Aircraft,2
Orly Organization,Business,2
Orly Organization,Government (Diplomatic),1
Orly Organization,Private Citizens & Property,2
Orly Organization,Transportation,1
Orly Organization,Unknown,1
Oromo Liberation Front,Government (General),1
Oromo Liberation Front,Police,1
Oromo Liberation Front,Private Citizens & Property,1
Oromo Liberation Front,Transportation,3
Oromo Liberation Front,Violent Political Party,2
Otpor,Business,1
Otpor,Government (General),1
Otpor,Private Citizens & Property,2
Overall Deniers of Joining the Existing,Government (General),2
Overall Deniers of Joining the Existing,Private Citizens & Property,1
P.R.E.,Private Citizens & Property,1
PORE,Military,1
Pacific Popular Front,Government (Diplomatic),1
Pacifist and Ecologist Committee,Business,2
Pagan Sect of the Mountain,Transportation,9
Pahadi Cheetah,Government (General),1
Pakistan Muslim League (PML),Private Citizens & Property,1
Pakistani People's Party (PPP),Government (General),2
Pakistani People's Party (PPP),Private Citizens & Property,4
Pakistani People's Party (PPP),Violent Political Party,4
Pakistani trained terrorists,Police,1
Palestine Liberation Front (PLF),Business,1
Palestine Liberation Front (PLF),Maritime,1
Palestine Liberation Front (PLF),Military,1
Palestine Liberation Front (PLF),Private Citizens & Property,4
Palestine Liberation Front (PLF),Utilities,1
Palestine Liberation Organization (PLO),Airports & Aircraft,2
Palestine Liberation Organization (PLO),Business,7
Palestine Liberation Organization (PLO),Educational Institution,1
Palestine Liberation Organization (PLO),Government (Diplomatic),5
Palestine Liberation Organization (PLO),Government (General),13
Palestine Liberation Organization (PLO),Journalists & Media,1
Palestine Liberation Organization (PLO),Military,91
Palestine Liberation Organization (PLO),Police,6
Palestine Liberation Organization (PLO),Private Citizens & Property,25
Palestine Liberation Organization (PLO),Religious Figures/Institutions,1
Palestine Liberation Organization (PLO),Terrorists/Non-State Militia,5
Palestine Liberation Organization (PLO),Tourists,1
Palestine Liberation Organization (PLO),Transportation,9
Palestine Liberation Organization (PLO),Unknown,1
Palestine Liberation Organization (PLO),Utilities,1
Palestine Liberation Organization (PLO),Violent Political Party,6
Palestinian Activists,Private Citizens & Property,1
Palestinian Extremists,Business,9
Palestinian Extremists,Educational Institution,1
Palestinian Extremists,Government (General),2
Palestinian Extremists,Military,183
Palestinian Extremists,Other,1
Palestinian Extremists,Police,72
Palestinian Extremists,Private Citizens & Property,132
Palestinian Extremists,Religious Figures/Institutions,6
Palestinian Extremists,Tourists,1
Palestinian Extremists,Transportation,20
Palestinian Extremists,Unknown,14
Palestinian Forces,Military,1
